"","Provincias","Year","Mes","dia","fecha","Población","Unidades","Euros","precio","UdesxCapita"
"60","Cádiz","2005","2","15",2005-02-15,934233,6824225.75,14542566.2,2.13102068025812,7.30462930553727
"61","Cantabria","2005","2","15",2005-02-15,487159,3916404,8751480,2.23457028437311,8.03927259888455
"62","Castellón/Castelló","2005","2","15",2005-02-15,454921,4154282.75,9049113.95,2.17826144597404,9.13187729298054
"63","Ciudad Real","2005","2","15",2005-02-15,411670,3314390,7114286.65,2.14648446622154,8.05108460660237
"64","Córdoba","2005","2","15",2005-02-15,634683,5042375,10751799.25,2.13228870324004,7.94471413288208
"65","Coruña (A)","2005","2","15",2005-02-15,981848,6923368,15045478.8,2.17314445801523,7.05136436597111
"66","Cuenca","2005","2","15",2005-02-15,178173,1390242.5,2999545.4,2.15756992035562,7.80276753492392
"67","Girona","2005","2","15",2005-02-15,553514,13380101.2,28584663.95,2.13635633413595,24.1730131487189
"68","Granada","2005","2","15",2005-02-15,701531,6194402.05,13530889.55,2.18437380085782,8.82983367805557
"69","Guadalajara","2005","2","15",2005-02-15,174516,1421914.05,3122091.9065,2.19569664319725,8.14775751220519
"70","Guipúzcoa","2005","2","15",2005-02-15,593167,9437735.15,19711370.9,2.08857004214618,15.9107555713652
"71","Huelva","2005","2","15",2005-02-15,395486,3940135,8430507.5,2.13964940287579,9.96276732931128
"72","Huesca","2005","2","15",2005-02-15,189622,1823321.5,3995526.85,2.19134521805397,9.6155588486568
"73","Jaén","2005","2","15",2005-02-15,528685,4579251.5,9777369.1,2.1351456892027,8.66158771291033
"74","León","2005","2","15",2005-02-15,436606,3143143.05,6963070.2,2.2153208076228,7.19903769073261
"75","Lleida","2005","2","15",2005-02-15,341375,4888788.5,10210997.2,2.08865595228757,14.3208744049799
"76","Lugo","2005","2","15",2005-02-15,323550,1929339,4186911.05,2.17012720418755,5.96303198887344
"77","Madrid","2005","2","15",2005-02-15,4965769,40001141.75,88064461.18,2.20154868904461,8.05537707251384
"78","Málaga","2005","2","15",2005-02-15,1172755,12325826.5,28041767.2,2.27504153169769,10.5101461942179
"79","Murcia","2005","2","15",2005-02-15,1074547,10182309.65,23046650.8,2.26340109387657,9.4759090574912
"80","Navarra","2005","2","15",2005-02-15,499843,6296248,13169348.5,2.09161845276743,12.5964512857037
"81","Ourense","2005","2","15",2005-02-15,307170,1648309,3615207.95,2.193282903873,5.36611322720318
"82","Palencia","2005","2","15",2005-02-15,152674,1071546,2351507.85,2.19450014278435,7.01852312771002
"83","Pontevedra","2005","2","15",2005-02-15,795556,5193426.5,11283436.8,2.17263819946234,6.52804642287909
"84","Rioja (La)","2005","2","15",2005-02-15,258307,1790312.75,3979438.7,2.22276174930888,6.9309494129079
"85","Salamanca","2005","2","15",2005-02-15,306380,1999005.75,4377840.35,2.19000888316604,6.5245960898231
"86","Segovia","2005","2","15",2005-02-15,134694,972984.05,2165842.85,2.22597980922709,7.22366289515494
"87","Sevilla","2005","2","15",2005-02-15,1451836,12003732,25972182.4,2.16367563021234,8.26796690535295
"88","Soria","2005","2","15",2005-02-15,82633,482252,1077801.35,2.23493391421912,5.83607033509615
"89","Tarragona","2005","2","15",2005-02-15,592612,5115209.7,11469296.75,2.24219483123048,8.63163368274689
"90","Teruel","2005","2","15",2005-02-15,123472,912978,2015593.3,2.20771289121972,7.39421083322535
"91","Toledo","2005","2","15",2005-02-15,496489,4196468.75,9082373.55,2.16428957084453,8.45228947670543
"92","Valencia/València","2005","2","15",2005-02-15,2014397,17972090.95,38443477.4,2.13906537124441,8.921821741196
"93","Valladolid","2005","2","15",2005-02-15,445030,3196196.35,7028848.7,2.19912919304848,7.18197952946992
"94","Vizcaya","2005","2","15",2005-02-15,993769,6910706,15292010.6,2.21280005255614,6.95403660206748
"95","Zamora","2005","2","15",2005-02-15,177904,1054520.55,2317109.8,2.19731118563787,5.92746959034086
"96","Zaragoza","2005","2","15",2005-02-15,784426,6819480.55,14873915.6,2.1810921654436,8.69359321338151
"97","Álava","2005","3","15",2005-03-15,260982,2235266,4968023.05,2.22256458515452,8.56482822570139
"98","Albacete","2005","3","15",2005-03-15,314481,3671917,7923602.55,2.15789260759434,11.6761171581113
"99","Alicante/Alacant","2005","3","15",2005-03-15,1405806,24203534.25,55214226.85,2.28124646093783,17.2168380630044
"100","Almería","2005","3","15",2005-03-15,496735,6639905.5,14966132.9,2.25396775601701,13.3670981509255
"101","Asturias","2005","3","15",2005-03-15,957186,9294041.1,20285565.55,2.18264211786195,9.70975453046743
"102","Ávila","2005","3","15",2005-03-15,147568,1543190,3352265,2.17229569916861,10.4574840073729
"103","Badajoz","2005","3","15",2005-03-15,545164,6040476.5,12614689.3,2.08835996630398,11.0801089213521
"104","Balears (Illes)","2005","3","15",2005-03-15,793948,11940924,27660664.6,2.31645931252891,15.0399320862324
"105","Barcelona","2005","3","15",2005-03-15,4397957,41458031.7,93745394.2,2.26121188961318,9.42665690001062
"106","Burgos","2005","3","15",2005-03-15,314870,3139579.5,6963925.5,2.21810771155819,9.97103407755582
"107","Cáceres","2005","3","15",2005-03-15,342615,3844469.05,8166815.7,2.12430262639258,11.220959531836
"108","Cádiz","2005","3","15",2005-03-15,934233,9081471.55,19374906.95,2.13345456662252,9.72077795367965
"109","Cantabria","2005","3","15",2005-03-15,487159,4917429.5,10965887.85,2.23000408038387,10.0940955622292
"110","Castellón/Castelló","2005","3","15",2005-03-15,454921,5352541.4,11629846.05,2.17277087291655,11.7658701181084
"111","Ciudad Real","2005","3","15",2005-03-15,411670,4501957.5,9619747,2.13679205101337,10.935840600481
"112","Córdoba","2005","3","15",2005-03-15,634683,7195245.5,15330392.4,2.13062812102797,11.3367547263752
"113","Coruña (A)","2005","3","15",2005-03-15,981848,8702219,18864093.52,2.16773371481458,8.86310202801248
"114","Cuenca","2005","3","15",2005-03-15,178173,1925189,4138708.5,2.14976737348904,10.8051668883613
"115","Girona","2005","3","15",2005-03-15,553514,17825357.55,37635239.3,2.11133152277218,32.2039868006952
"116","Granada","2005","3","15",2005-03-15,701531,8763482.45,19084417.9,2.17772078724252,12.4919389877283
"117","Guadalajara","2005","3","15",2005-03-15,174516,1757702,3842478.7,2.18608086012305,10.0718673359463
"118","Guipúzcoa","2005","3","15",2005-03-15,593167,11393331,23649770.85,2.07575561966909,19.2076278687115
"119","Huelva","2005","3","15",2005-03-15,395486,5548039,11730356.5,2.11432480918032,14.028408085242
"120","Huesca","2005","3","15",2005-03-15,189622,2367576.5,5145253.5,2.17321531109977,12.4857690563331
"121","Jaén","2005","3","15",2005-03-15,528685,5680551.5,12087228.8,2.12782663795936,10.7446806699642
"122","León","2005","3","15",2005-03-15,436606,3912139.5,8631846.65,2.20642608731105,8.96034296367892
"123","Lleida","2005","3","15",2005-03-15,341375,6587024.5,13621791.9,2.0679734681418,19.2955679238374
"124","Lugo","2005","3","15",2005-03-15,323550,2697855.5,5812769.9,2.15458904303807,8.33829547210632
"125","Madrid","2005","3","15",2005-03-15,4965769,48766872.15,106860948.85,2.19126107824408,9.82060827839555
"126","Málaga","2005","3","15",2005-03-15,1172755,16958360.2,38631140.9,2.27799978561606,14.4602753345754
"127","Murcia","2005","3","15",2005-03-15,1074547,12904062.8,29053273.15,2.25148262220175,12.0088398180815
"128","Navarra","2005","3","15",2005-03-15,499843,8635804.5,17891830.15,2.07181973028685,17.2770339886724
"129","Ourense","2005","3","15",2005-03-15,307170,2247142.05,4896825.6,2.17913487044577,7.3156299443305
"130","Palencia","2005","3","15",2005-03-15,152674,1433946,3152991.75,2.19882181755798,9.39220823453895
"131","Pontevedra","2005","3","15",2005-03-15,795556,6454384.7,13911570.9,2.15536748220167,8.11304886142522
"132","Rioja (La)","2005","3","15",2005-03-15,258307,2598567,5753669.35,2.21417009836575,10.0599945026654
"133","Salamanca","2005","3","15",2005-03-15,306380,2751155,6003451.05,2.18215660331752,8.97955153730661
"134","Segovia","2005","3","15",2005-03-15,134694,1318306,2920079.35,2.21502393981367,9.78741443568385
"135","Sevilla","2005","3","15",2005-03-15,1451836,16737340.85,36136924.45,2.15906007853093,11.5283963546847
"136","Soria","2005","3","15",2005-03-15,82633,738013,1637764.05,2.21915338889694,8.9312139217988
"137","Tarragona","2005","3","15",2005-03-15,592612,8017517.8,17906709.4,2.233448037995,13.5291182088787
"138","Teruel","2005","3","15",2005-03-15,123472,1261046.5,2786772.35,2.20988865200451,10.2132183814954
"139","Toledo","2005","3","15",2005-03-15,496489,5347567.7,11562930,2.16227837564357,10.7707677310071
"140","Valencia/València","2005","3","15",2005-03-15,2014397,22939413.6,49069332.5,2.13908399559089,11.3877322096886
"141","Valladolid","2005","3","15",2005-03-15,445030,4052899.1,8905954.8,2.19742820639181,9.10702447026043
"142","Vizcaya","2005","3","15",2005-03-15,993769,8105191,17988661.85,2.2194001165426,8.15601110519648
"143","Zamora","2005","3","15",2005-03-15,177904,1487993,3269870.35,2.19750385250468,8.36402216925983
"144","Zaragoza","2005","3","15",2005-03-15,784426,7886158.5,17196393.35,2.18057921990789,10.0534129414374
"145","Álava","2005","4","15",2005-04-15,260982,3113859.5,7073972.25,2.27176988878271,11.9313190181698
"146","Albacete","2005","4","15",2005-04-15,314481,2834589.65,6370744.55,2.24750152107555,9.01354819528048
"147","Alicante/Alacant","2005","4","15",2005-04-15,1405806,22018961,51386497.1,2.33373850382859,15.6628731133599
"148","Almería","2005","4","15",2005-04-15,496735,6045066,14045888.5,2.32352938743762,12.1695994846347
"149","Asturias","2005","4","15",2005-04-15,957186,8822811.1,19819727.6,2.24641867261558,9.21744687030525
"150","Ávila","2005","4","15",2005-04-15,147568,1215634,2727605.65,2.24377209752277,8.23778868047273
"151","Badajoz","2005","4","15",2005-04-15,545164,5134227.35,11024363.6,2.14722933919161,9.41776667204731
"152","Balears (Illes)","2005","4","15",2005-04-15,793948,14481327.55,34358541.7,2.37260994072329,18.2396423317396
"153","Barcelona","2005","4","15",2005-04-15,4397957,42835366.4,99602238.4,2.32523372089097,9.73983292697041
"154","Burgos","2005","4","15",2005-04-15,314870,3275167,7482909.5,2.28474135822692,10.4016482992981
"155","Cáceres","2005","4","15",2005-04-15,342615,3186194,6979626.6,2.19058431470275,9.2996336996337
"156","Cádiz","2005","4","15",2005-04-15,934233,8225189.5,17985982.05,2.18669515760093,8.80421639997731
"157","Cantabria","2005","4","15",2005-04-15,487159,5059227.25,11566862.1,2.28629028276996,10.3851663419951
"158","Castellón/Castelló","2005","4","15",2005-04-15,454921,4519861.75,10099208.95,2.23440660546752,9.93548715051624
"159","Ciudad Real","2005","4","15",2005-04-15,411670,3784472.5,8335325.8,2.20250663731867,9.19297617023344
"160","Córdoba","2005","4","15",2005-04-15,634683,5792209.5,12742144.95,2.19987639431896,9.1261456506634
"161","Coruña (A)","2005","4","15",2005-04-15,981848,8299759.55,18399449.65,2.21686538497371,8.45320207404812
"162","Cuenca","2005","4","15",2005-04-15,178173,1651835.5,3681576.8,2.22877931852173,9.27096417526786
"163","Girona","2005","4","15",2005-04-15,553514,18175743,40001745.9,2.2008313992996,32.8370068327088
"164","Granada","2005","4","15",2005-04-15,701531,6929693.5,15549662.85,2.24391783705874,9.87795763836523
"165","Guadalajara","2005","4","15",2005-04-15,174516,1606962,3619164.6,2.25217808510718,9.20810699305508
"166","Guipúzcoa","2005","4","15",2005-04-15,593167,11594874,25073545.4,2.16246812168895,19.5474023335755
"167","Huelva","2005","4","15",2005-04-15,395486,4797630,10371552.6,2.16180751746175,12.1309730306509
"168","Huesca","2005","4","15",2005-04-15,189622,2172787,4847994.6,2.23123325019894,11.4585174716014
"169","Jaén","2005","4","15",2005-04-15,528685,4937368,10895879.7,2.20681944307169,9.33895987213558
"170","León","2005","4","15",2005-04-15,436606,3674005.25,8358110.45,2.27493154779787,8.41492157689084
"171","Lleida","2005","4","15",2005-04-15,341375,5963271,12996405.6,2.17940885128313,17.4683881362138
"172","Lugo","2005","4","15",2005-04-15,323550,2151116,4777368,2.22087883684562,6.64848091485087
