"","Provincias","Year","Mes","dia","fecha","Población","Unidades","Euros","precio","UdesxCapita"
"1549","Cantabria","2007","9","15",2007-09-15,500183,4389810.5,11027433.05,2.51205218311816,8.77640883436662
"1550","Castellón/Castelló","2007","9","15",2007-09-15,485962,4845003.5,12076565.3,2.49258133662855,9.96992254538421
"1551","Ciudad Real","2007","9","15",2007-09-15,429448,4085357,10107758,2.47414314097887,9.51304232409978
"1552","Córdoba","2007","9","15",2007-09-15,648250,5860375.25,14407939.6,2.45853533013948,9.04030119552642
"1553","Coruña (A)","2007","9","15",2007-09-15,996767,7204458,17828416.55,2.4746367526884,7.22782556003559
"1554","Cuenca","2007","9","15",2007-09-15,184898,1769049.5,4393602.8,2.48359517356637,9.56770489675389
"1555","Girona","2007","9","15",2007-09-15,593529,16478725,41137978.4,2.49642969343805,27.7639761494384
"1556","Granada ","2007","9","15",2007-09-15,728037,7266412.5,18196957.3,2.50425602730371,9.98082858426152
"1557","Guadalajara","2007","9","15",2007-09-15,194503,1822592,4563388.2,2.503790316209,9.37050842403459
"1558","Guipúzcoa","2007","9","15",2007-09-15,600965,9078557.5,22395384.35,2.46684391765983,15.1066326657958
"1559","Huelva","2007","9","15",2007-09-15,411287,4607788,11370301.9,2.46762696113623,11.2033397603134
"1560","Huesca","2007","9","15",2007-09-15,195213,2005388,5001181.5,2.49387225813658,10.272819945393
"1561","Jaén","2007","9","15",2007-09-15,539168,4827909.00000001,11885418,2.46181483536661,8.95436858270522
"1562","León","2007","9","15",2007-09-15,443784,3425884.75,8539703.2,2.49270008280343,7.71971217979918
"1563","Lleida","2007","9","15",2007-09-15,357325,5248803.5,12884184.55,2.45468982597653,14.6891583292521
"1564","Lugo","2007","9","15",2007-09-15,325745,1989221.5,4930746.8,2.478731905924,6.10668314172128
"1565","Madrid","2007","9","15",2007-09-15,5171237,43444075.25,108923356.05,2.50720853012057,8.40109924375928
"1566","Málaga","2007","9","15",2007-09-15,1235487,15734102,40448633.6,2.57076213183314,12.7351416890667
"1567","Murcia","2007","9","15",2007-09-15,1132397,12510344.5,31818460.2,2.54337202304861,11.0476665868949
"1568","Navarra","2007","9","15",2007-09-15,518003,7060848.5,17346046.6,2.45665185990041,13.6309027167796
"1569","Ourense","2007","9","15",2007-09-15,307817,2009696.5,4978365.45,2.47717277210763,6.52886780132351
"1570","Palencia","2007","9","15",2007-09-15,154394,1252478.5,3098869.3,2.47418961682775,8.11222262523155
"1571","Pontevedra","2007","9","15",2007-09-15,809436,5859329,14503021.25,2.47520172531701,7.23877984176637
"1572","Rioja (La)","2007","9","15",2007-09-15,268119,2186205.5,5445492.45,2.49084198626341,8.1538626505395
"1573","Salamanca","2007","9","15",2007-09-15,310174,2502566,6178249.15,2.46876571886616,8.06826490937345
"1574","Segovia","2007","9","15",2007-09-15,140370,1065809,2692519.8,2.52626859033842,7.59285459856095
"1575","Sevilla","2007","9","15",2007-09-15,1495630,14316105.75,35381737.25,2.47146380921362,9.57195680081303
"1576","Soria","2007","9","15",2007-09-15,84184,598112.5,1507374.1,2.52021835357061,7.10482395704647
"1577","Tarragona","2007","9","15",2007-09-15,642451,8098912.75,20733362,2.56001794808816,12.6062730854182
"1578","Teruel","2007","9","15",2007-09-15,127892,1068159,2686119.9,2.51471915697944,8.35203922059237
"1579","Toledo","2007","9","15",2007-09-15,538630,5325993.5,13238411.3,2.48562287956228,9.88803724263409
"1580","Valencia/València","2007","9","15",2007-09-15,2097318,20560129,50673777.6,2.46466243475417,9.80305752394251
"1581","Valladolid","2007","9","15",2007-09-15,454677,3709248,9178731.8,2.47455327872388,8.15798467923383
"1582","Vizcaya","2007","9","15",2007-09-15,1004220,7168806.5,17930627.35,2.50120119018417,7.13868126506144
"1583","Zamora","2007","9","15",2007-09-15,179489,1213865.5,3009197.2,2.47902028684397,6.76289633348005
"1584","Zaragoza","2007","9","15",2007-09-15,814329,7246390,17960407.2,2.47853168267234,8.8986024076264
"1585","Álava","2007","10","15",2007-10-15,267797,2279896.5,5692471.7,2.49681145613408,8.51352517018488
"1586","Albacete","2007","10","15",2007-10-15,325314,3080598.25,7693813.9,2.49750641778752,9.4696147414498
"1587","Alicante/Alacant","2007","10","15",2007-10-15,1499086,23555083,60159704.75,2.55400096658543,15.7129630988482
"1588","Almería","2007","10","15",2007-10-15,523328,6641045,17013701.2,2.56190120681308,12.6900242295463
"1589","Asturias","2007","10","15",2007-10-15,965722,8646133.5,21422700,2.47772024338972,8.95302530127718
"1590","Ávila","2007","10","15",2007-10-15,152203,1486295.5,3712526.6,2.49783882141876,9.76521816258549
"1591","Badajoz","2007","10","15",2007-10-15,559636,6005892.5,14615606.75,2.4335445148244,10.7317836951161
"1592","Balears (Illes)","2007","10","15",2007-10-15,855367,16123943,41568875.4,2.5780837478773,18.850321557881
"1593","Barcelona","2007","10","15",2007-10-15,4522976,43810221.5,110752375.45,2.52800309283988,9.68614945115781
"1594","Burgos","2007","10","15",2007-10-15,325005,2891239.5,7206764.5,2.49262107134328,8.89598467715881
"1595","Cáceres","2007","10","15",2007-10-15,348456,3575016.5,8751110.3,2.44785172320184,10.2595923158161
"1596","Cádiz","2007","10","15",2007-10-15,966066,8339112,20530953.8,2.46200720172604,8.63203135189521
"1597","Cantabria","2007","10","15",2007-10-15,500183,4903495.49999999,12326651.35,2.51384983426619,9.80340295451863
"1598","Castellón/Castelló","2007","10","15",2007-10-15,485962,5207208.5,12959611.3,2.48878286705823,10.7152586004667
"1599","Ciudad Real","2007","10","15",2007-10-15,429448,4707626.5,11653167.4,2.47538061908692,10.9620408058717
"1600","Córdoba","2007","10","15",2007-10-15,648250,6515997.25,16046352.65,2.46260887387575,10.0516733513305
"1601","Coruña (A)","2007","10","15",2007-10-15,996767,8531785.65,21134326.6,2.47712817304546,8.55945837893911
"1602","Cuenca","2007","10","15",2007-10-15,184898,2000340,4961912.4,2.48053450913345,10.8186135058248
"1603","Girona","2007","10","15",2007-10-15,593529,16772300.25,41820983.2,2.49345543405711,28.258602780993
"1604","Granada ","2007","10","15",2007-10-15,728037,7939035.25,19908327.9,2.50765077532563,10.9047139774489
"1605","Guadalajara","2007","10","15",2007-10-15,194503,1978862,4945719.25,2.49927445673321,10.1739407618391
"1606","Guipúzcoa","2007","10","15",2007-10-15,600965,10264662,25254701.05,2.46035388695702,17.0802991854767
"1607","Huelva","2007","10","15",2007-10-15,411287,5056649,12500066.1,2.47200588769361,12.2946968904925
"1608","Huesca","2007","10","15",2007-10-15,195213,2365354.5,5901573.3,2.49500584373294,12.1167878163852
"1609","Jaén","2007","10","15",2007-10-15,539168,5488367.5,13522999,2.46393832045686,10.1793272226838
"1610","León","2007","10","15",2007-10-15,443784,3858987,9660763.4,2.50344543788305,8.69564247471743
"1611","Lleida","2007","10","15",2007-10-15,357325,6217206.5,15374565.35,2.47290569325629,17.3993045546771
"1612","Lugo","2007","10","15",2007-10-15,325745,2397008.5,5968360.3,2.48992037366576,7.35854272513776
"1613","Madrid","2007","10","15",2007-10-15,5171237,49609865.5,124500704.15,2.50959568011729,9.59342329504527
"1614","Málaga","2007","10","15",2007-10-15,1235487,16646751.25,42752794.6,2.56823652603087,13.4738376445887
"1615","Murcia","2007","10","15",2007-10-15,1132397,13090309.5,33427555.45,2.55361077979096,11.5598235424502
"1616","Navarra","2007","10","15",2007-10-15,518003,7798650,19197027.4,2.46158340225552,15.0552216879053
"1617","Ourense","2007","10","15",2007-10-15,307817,2255887,5577088.8,2.47223766084028,7.32866280939649
"1618","Palencia","2007","10","15",2007-10-15,154394,1394382.65,3453330.1,2.47660145513142,9.03132667072555
"1619","Pontevedra","2007","10","15",2007-10-15,809436,6790537.75,16840885.6,2.48005183389195,8.38922132200693
"1620","Rioja (La)","2007","10","15",2007-10-15,268119,2352701,5876963.7,2.49796455223167,8.77483878427116
"1621","Salamanca","2007","10","15",2007-10-15,310174,2692126.5,6669582.25,2.4774401388642,8.67940736489841
"1622","Segovia","2007","10","15",2007-10-15,140370,1349427.75,3403498.9,2.52217942012827,9.61336289805514
"1623","Sevilla","2007","10","15",2007-10-15,1495630,15807336.5,39165388.9,2.47767161153304,10.5690153981934
"1624","Soria","2007","10","15",2007-10-15,84184,669145,1694940.4,2.53299419408349,7.94860068421553
"1625","Tarragona","2007","10","15",2007-10-15,642451,8101709.5,20571107.95,2.53910707980828,12.610626335705
"1626","Teruel","2007","10","15",2007-10-15,127892,1151536.5,2891100,2.51064555921588,9.00397601100929
"1627","Toledo","2007","10","15",2007-10-15,538630,5865925.5,14580064.6,2.48555229690524,10.8904544863821
"1628","Valencia/València","2007","10","15",2007-10-15,2097318,21689595.25,53556561.95,2.46922827893711,10.3415863736448
"1629","Valladolid","2007","10","15",2007-10-15,454677,3881791.75,9627080,2.48006091516888,8.53747110586196
"1630","Vizcaya","2007","10","15",2007-10-15,1004220,7796666,19597858.75,2.51362040518345,7.76390233215829
"1631","Zamora","2007","10","15",2007-10-15,179489,1420629.5,3522231.5,2.47934559996114,7.91485550646558
"1632","Zaragoza","2007","10","15",2007-10-15,814329,8600571.5,21411385.9,2.48953059689115,10.5615439214372
"1633","Álava","2007","11","15",2007-11-15,267797,2146228,5357285.6,2.49614001867462,8.01438402969413
"1634","Albacete","2007","11","15",2007-11-15,325314,2982856.5,7438030.3,2.4935930709372,9.16916117966027
"1635","Alicante/Alacant","2007","11","15",2007-11-15,1499086,21281320,54069261.6,2.5406911601348,14.1961968826338
"1636","Almería","2007","11","15",2007-11-15,523328,6207610.5,15849403.4,2.55322130794128,11.8617969992051
"1637","Asturias","2007","11","15",2007-11-15,965722,8349717.75,20650273.2,2.4731702098553,8.64608836704559
"1638","Ávila","2007","11","15",2007-11-15,152203,1363948,3403580.4,2.49538868050688,8.96137395452126
"1639","Badajoz","2007","11","15",2007-11-15,559636,5711480.25,13886305.3,2.43129708800096,10.2057055836294
"1640","Balears (Illes)","2007","11","15",2007-11-15,855367,9451895.25,24105358.3,2.55032008527602,11.0501051010853
"1641","Barcelona","2007","11","15",2007-11-15,4522976,40659647.75,102797125.65,2.52823453567671,8.98957848770367
"1642","Burgos","2007","11","15",2007-11-15,325005,2937448.5,7297564.7,2.48432089958343,9.03816402824572
"1643","Cáceres","2007","11","15",2007-11-15,348456,3459033.5,8476056.15,2.45041169737153,9.92674397915375
"1644","Cádiz","2007","11","15",2007-11-15,966066,8005407.5,19691796.7,2.45981190838817,8.28660515948186
"1645","Cantabria","2007","11","15",2007-11-15,500183,4583274,11481863.6,2.50516630688019,9.16319427089685
"1646","Castellón/Castelló","2007","11","15",2007-11-15,485962,5198074.5,12932938.9,2.48802492153585,10.6964628921603
"1647","Ciudad Real","2007","11","15",2007-11-15,429448,4290276.5,10642672.9,2.48064965043628,9.99021185335594
"1648","Córdoba","2007","11","15",2007-11-15,648250,6391183,15722747.3,2.46006839422373,9.85913305052063
"1649","Coruña (A)","2007","11","15",2007-11-15,996767,7791057.5,19297280.2,2.4768499269836,7.81632768741341
"1650","Cuenca","2007","11","15",2007-11-15,184898,1860143,4627038.4,2.48746381326597,10.060373827732
"1651","Girona","2007","11","15",2007-11-15,593529,15867634.25,39541054.8,2.49193132240239,26.7343874520032
"1652","Granada ","2007","11","15",2007-11-15,728037,7651088,19166858.55,2.5051154228,10.5092021421988
"1653","Guadalajara","2007","11","15",2007-11-15,194503,1841892.5,4609532.15,2.50260650390834,9.4697382559652
"1654","Guipúzcoa","2007","11","15",2007-11-15,600965,8904996,21938073.7,2.46356918071608,14.8178279933108
"1655","Huelva","2007","11","15",2007-11-15,411287,4910384.5,12126841.2,2.46963169584785,11.9390705273933
"1656","Huesca","2007","11","15",2007-11-15,195213,2145836.5,5352965.7,2.49458227595625,10.9922827885438
"1657","Jaén","2007","11","15",2007-11-15,539168,5285482.5,13014968.2,2.46239926061623,9.80303449017746
"1658","León","2007","11","15",2007-11-15,443784,3678900,9163314.1,2.49077553072929,8.28984370774972
"1659","Lleida","2007","11","15",2007-11-15,357325,5700923,14101742.4,2.47358934684787,15.9544476317078
"1660","Lugo","2007","11","15",2007-11-15,325745,2236242,5548717,2.48126857468914,6.86500790495633
"1661","Madrid","2007","11","15",2007-11-15,5171237,46818136.5,117527101.95,2.5102900443293,9.05356619702404
"1662","Málaga","2007","11","15",2007-11-15,1235487,14804771.5,37661972.45,2.54390771583337,11.9829439727006
"1663","Murcia","2007","11","15",2007-11-15,1132397,12793457.5,32533842.65,2.54300627097874,11.2976787292796
"1664","Navarra","2007","11","15",2007-11-15,518003,7007915.7,17239407.55,2.45999071450018,13.5287164360052
"1665","Ourense","2007","11","15",2007-11-15,307817,2079694,5143339.85,2.47312337776615,6.75626752258647
"1666","Palencia","2007","11","15",2007-11-15,154394,1277105.5,3162981.9,2.47668019595875,8.27173011904608
"1667","Pontevedra","2007","11","15",2007-11-15,809436,6212106.5,15385853.4,2.47675299835893,7.67461108722617
"1668","Rioja (La)","2007","11","15",2007-11-15,268119,2346564,5863905.6,2.49893273739817,8.75194969397917
"1669","Salamanca","2007","11","15",2007-11-15,310174,2717232.5,6706296.6,2.46806138230718,8.76034902989935
"1670","Segovia","2007","11","15",2007-11-15,140370,1222305.25,3083100.25,2.52236521932635,8.70773847688253
"1671","Sevilla","2007","11","15",2007-11-15,1495630,15264621.25,37749410.7,2.47300015386887,10.2061480780674
"1672","Soria","2007","11","15",2007-11-15,84184,695865.5,1752514.8,2.51846772113289,8.26600660458044
"1673","Tarragona","2007","11","15",2007-11-15,642451,6589303.75,16663693.6,2.5289005078875,10.2565078893176
"1674","Teruel","2007","11","15",2007-11-15,127892,1073629.5,2698003.65,2.51297458760215,8.39481359271886
"1675","Toledo","2007","11","15",2007-11-15,538630,5612412.75,13969904.95,2.48910861910504,10.4197923435382
"1676","Valencia/València","2007","11","15",2007-11-15,2097318,21205287.75,52302991.8,2.46650705317592,10.1106688399184
"1677","Valladolid","2007","11","15",2007-11-15,454677,3973063.5,9833120.05,2.47494661235593,8.7382108617766
"1678","Vizcaya","2007","11","15",2007-11-15,1004220,7415877.5,18598276.05,2.50789957762922,7.38471400689092
"1679","Zamora","2007","11","15",2007-11-15,179489,1332828,3301444.9,2.47702246651481,7.42568068238165
"1680","Zaragoza","2007","11","15",2007-11-15,814329,7880883,19578828.3,2.48434449540743,9.67776291891852
"1681","Álava","2007","12","15",2007-12-15,267797,2195159,5458384.75,2.48655552969056,8.1971007890305
"1682","Albacete","2007","12","15",2007-12-15,325314,2984571.5,7474447.8,2.50436211697391,9.17443300933867
"1683","Alicante/Alacant","2007","12","15",2007-12-15,1499086,17614013.75,44635913.3,2.53411368547387,11.7498353997036
"1684","Almería","2007","12","15",2007-12-15,523328,5599402.5,14306670,2.55503511312144,10.6996042634829
"1685","Asturias","2007","12","15",2007-12-15,965722,7606856.25,18848185.7,2.47778912609266,7.87685923071029
"1686","Ávila","2007","12","15",2007-12-15,152203,1185328,2976025.55,2.51071901617105,7.78780970151705
"1687","Badajoz","2007","12","15",2007-12-15,559636,5417278.5,13207587.5,2.43804845920327,9.68000360948903
"1688","Balears (Illes)","2007","12","15",2007-12-15,855367,8722578,22259934.75,2.55199033473819,10.1974684550608
"1689","Barcelona","2007","12","15",2007-12-15,4522976,35837716.5,90716111.8999999,2.53130279380384,7.92348146441635
"1690","Burgos","2007","12","15",2007-12-15,325005,2445817.5,6087003,2.48873965453269,7.52547653113029
"1691","Cáceres","2007","12","15",2007-12-15,348456,3043026.5,7468012.05,2.45413966983199,8.73288593107882
"1692","Cádiz","2007","12","15",2007-12-15,966066,7147130.5,17625239.6,2.46605817537542,7.39818035206704
"1693","Cantabria","2007","12","15",2007-12-15,500183,4185012,10519837.45,2.51369349717516,8.36696169202072
"1694","Castellón/Castelló","2007","12","15",2007-12-15,485962,4704040,11711246,2.48961445906072,9.67985151102349
"1695","Ciudad Real","2007","12","15",2007-12-15,429448,3985674,9907956.6,2.48589237353582,9.28092341796911
"1696","Córdoba","2007","12","15",2007-12-15,648250,5825455,14360793.7,2.46517974990795,8.98643270343232
"1697","Coruña (A)","2007","12","15",2007-12-15,996767,7299045,18088781.9,2.47823953681612,7.32271935166393
"1698","Cuenca","2007","12","15",2007-12-15,184898,1743098,4345363.1,2.49289661281236,9.42734913303551
"1699","Girona","2007","12","15",2007-12-15,593529,14460934.5,35849130.8,2.47903279003165,24.3643267641514
"1700","Granada ","2007","12","15",2007-12-15,728037,6818999.5,17168297.7,2.51771505482586,9.36628152140619
"1701","Guadalajara","2007","12","15",2007-12-15,194503,1597383.5,4010215.6,2.51049018598226,8.2126419643913
"1702","Guipúzcoa","2007","12","15",2007-12-15,600965,8602373,21155585.6,2.45927322612028,14.3142662218266
"1703","Huelva","2007","12","15",2007-12-15,411287,4381815.5,10823228.1,2.47003282087071,10.6539119884655
"1704","Huesca","2007","12","15",2007-12-15,195213,1943333,4863119.9,2.50246349956492,9.95493640280104
"1705","Jaén","2007","12","15",2007-12-15,539168,5574030,13780266.45,2.47222681793962,10.3382062733693
"1706","León","2007","12","15",2007-12-15,443784,3337642.5,8346181.7,2.50062183112781,7.52087164025742
"1707","Lleida","2007","12","15",2007-12-15,357325,5535422.5,13772657.25,2.48809503700937,15.4912824459526
"1708","Lugo","2007","12","15",2007-12-15,325745,2016030,5010388.5,2.48527477269683,6.18898217931204
"1709","Madrid","2007","12","15",2007-12-15,5171237,42389378.5,106484416.05,2.51205419418924,8.19714480307129
"1710","Málaga","2007","12","15",2007-12-15,1235487,13206696.25,33609651.9,2.54489474610276,10.689465975765
"1711","Murcia","2007","12","15",2007-12-15,1132397,11656589.5,29691535.25,2.54718888831077,10.2937304673184
"1712","Navarra","2007","12","15",2007-12-15,518003,6409068.25,15689227,2.44797315116749,12.372646973087
"1713","Ourense","2007","12","15",2007-12-15,307817,1964142,4853290.9,2.4709470598358,6.38087565014278
"1714","Palencia","2007","12","15",2007-12-15,154394,1236354.5,3075292.55,2.48738735532568,8.00778851509774
"1715","Pontevedra","2007","12","15",2007-12-15,809436,5874295,14572193.5,2.4806710422272,7.25726925908904
"1716","Rioja (La)","2007","12","15",2007-12-15,268119,2150172.5,5373906.5,2.49929087084873,8.01947083198132
"1717","Salamanca","2007","12","15",2007-12-15,310174,2439115,6038837.25,2.47583129536738,7.86369908502969
"1718","Segovia","2007","12","15",2007-12-15,140370,1033984.5,2628270.4,2.54188568590728,7.36613592648002
"1719","Sevilla","2007","12","15",2007-12-15,1495630,14148942.5,35052963.4,2.47742638009872,9.46018901733718
"1720","Soria","2007","12","15",2007-12-15,84184,644197.5,1630547.4,2.53112966132281,7.65225577306852
"1721","Tarragona","2007","12","15",2007-12-15,642451,5850160.5,14782508.35,2.52685517773401,9.10600263677697
"1722","Teruel","2007","12","15",2007-12-15,127892,974670,2453405.9,2.51716570736762,7.62103962718544
"1723","Toledo","2007","12","15",2007-12-15,538630,5108424,12739465.5,2.49381521580824,9.48410597256001
"1724","Valencia/València","2007","12","15",2007-12-15,2097318,19772785.75,48838527.85,2.46998720703783,9.42765272123734
"1725","Valladolid","2007","12","15",2007-12-15,454677,3536958.5,8792478.3,2.48588675835467,7.77905744077664
"1726","Vizcaya","2007","12","15",2007-12-15,1004220,7060852,17719274.7,2.50950943313923,7.03118041863337
"1727","Zamora","2007","12","15",2007-12-15,179489,1246933,3104575.6,2.48976937814622,6.94712767913354
"1728","Zaragoza","2007","12","15",2007-12-15,814329,7331978,18228234,2.4861277543386,9.0037048907751
"1729","Álava","2008","1","15",2008-01-15,271299,2570819.25,6501598.85,2.5289988201232,9.47596286753729
"1730","Albacete","2008","1","15",2008-01-15,330270,2917860.5,7424340.2,2.54444659023281,8.83477306446241
"1731","Alicante/Alacant","2008","1","15",2008-01-15,1530226,20847122.75,53865386.4,2.58382833189774,13.6235580561303
"1732","Almería","2008","1","15",2008-01-15,537974,6345081.5,16573929,2.6120907982033,11.7944017740634
"1733","Asturias","2008","1","15",2008-01-15,971694,8744993.5,22101630.7,2.52734672701586,8.9997401445311
"1734","Ávila","2008","1","15",2008-01-15,153661,1290488,3302197.2,2.55887478225292,8.39827932917266
"1735","Badajoz","2008","1","15",2008-01-15,565955,5686011,14213045.5,2.49965142522587,10.0467546006308
"1736","Balears (Illes)","2008","1","15",2008-01-15,882997,9852540.75,25625201.2,2.6008723891855,11.1580682040822
"1737","Barcelona","2008","1","15",2008-01-15,4591604,41756238,107490386.2,2.57423540406107,9.09404164644861
"1738","Burgos","2008","1","15",2008-01-15,329540,3164837,7938419.9,2.50831872225963,9.60380226983067
"1739","Cáceres","2008","1","15",2008-01-15,350565,3397693,8530267.6,2.51060575514033,9.69204855019754
"1740","Cádiz","2008","1","15",2008-01-15,979180,7828074.25,19753069.9,2.52336261373607,7.99452015972548
"1741","Cantabria","2008","1","15",2008-01-15,507396,4723321.5,12049364.9,2.55103636286456,9.30894508431284
"1742","Castellón/Castelló","2008","1","15",2008-01-15,497519,5140550.75,13014854.6,2.53180159732885,10.3323707235302
"1743","Ciudad Real","2008","1","15",2008-01-15,436812,4201442,10688174.6,2.54393006020314,9.61842165508274
"1744","Córdoba","2008","1","15",2008-01-15,655281,6381236.75,16084364.6,2.52057167444853,9.7381684346105
"1745","Coruña (A)","2008","1","15",2008-01-15,1003599,8279537.25,20979594.05,2.53390901164192,8.24984605405147
"1746","Cuenca","2008","1","15",2008-01-15,187310,1658438,4224605.8,2.54734020807531,8.85397469435695
"1747","Girona","2008","1","15",2008-01-15,610434,13337105,33798086.4,2.53413963525068,21.8485618428856
"1748","Granada","2008","1","15",2008-01-15,739823,7638815,19627530.55,2.56944703465132,10.3251926474305
"1749","Guadalajara","2008","1","15",2008-01-15,202163,1860490.5,4766606.7,2.56201614574221,9.20292288895594
"1750","Guipúzcoa","2008","1","15",2008-01-15,605102,9458371.5,23664858.6,2.50200138575652,15.6310365855674
"1751","Huelva","2008","1","15",2008-01-15,416526,4883170,12389474.7,2.53717865648749,11.7235658758397
"1752","Huesca","2008","1","15",2008-01-15,198505,2259698,5760997.7,2.54945470589433,11.3835822775245
"1753","Jaén","2008","1","15",2008-01-15,543630,5670180,14282422.6,2.51886582083814,10.4302190828321
"1754","León","2008","1","15",2008-01-15,446747,3717157.5,9456911.5,2.54412450911752,8.3204979552185
"1755","Lleida","2008","1","15",2008-01-15,365879,5854324.5,14572847.9,2.48924498462632,16.0007119840166
"1756","Lugo","2008","1","15",2008-01-15,326627,2379879,6007861.3,2.52443981395693,7.28622863388513
"1757","Madrid","2008","1","15",2008-01-15,5277397,48027899.4999999,122790792.1,2.55665547272164,9.10067965324571
"1758","Málaga","2008","1","15",2008-01-15,1263147,14660711,38037698.3,2.59453298683809,11.606496314364
"1759","Murcia","2008","1","15",2008-01-15,1153708,12485244.75,32493278.95,2.60253439965604,10.8218411851179
"1760","Navarra","2008","1","15",2008-01-15,527520,6876571,17161532.6,2.49565264431939,13.0356593114953
"1761","Ourense","2008","1","15",2008-01-15,307996,2289715,5779196.6,2.52398075743051,7.43423615891115
"1762","Palencia","2008","1","15",2008-01-15,154848,1418393.5,3558261.2,2.50865588428035,9.15990842632775
"1763","Pontevedra","2008","1","15",2008-01-15,816864,6371848.5,16180868.9,2.53943088885431,7.80037864320132
"1764","Rioja (La)","2008","1","15",2008-01-15,273049,2565578,6468043.5,2.52108628153188,9.39603514387528
"1765","Salamanca","2008","1","15",2008-01-15,312250,2949885.5,7401040.2,2.50892456673318,9.44719135308247
"1766","Segovia","2008","1","15",2008-01-15,142172,1198761,3077693.3,2.56739525226463,8.43176574852995
"1767","Sevilla","2008","1","15",2008-01-15,1517064,15064020.5,38230336.5,2.53785743985147,9.92971984042862
"1768","Soria","2008","1","15",2008-01-15,84971,602230.5,1537829.1,2.55355565684568,7.0874827882454
"1769","Tarragona","2008","1","15",2008-01-15,659787,6838393,17438421.4,2.55007593158217,10.3645464369562
"1770","Teruel","2008","1","15",2008-01-15,129211,1145735.75,2920733,2.54922044633765,8.86716881689639
"1771","Toledo","2008","1","15",2008-01-15,558201,5480620.25,13960759,2.54729544525549,9.81836336731751
"1772","Valencia/València","2008","1","15",2008-01-15,2131795,21751647.5,54812728.45,2.51993456817466,10.2034424041711
"1773","Valladolid","2008","1","15",2008-01-15,459138,4228186.5,10653042.8,2.51953001600095,9.20896658520967
"1774","Vizcaya","2008","1","15",2008-01-15,1008416,8227675.75,20972545.2,2.54902427334962,8.15900952583061
"1775","Zamora","2008","1","15",2008-01-15,179667,1424954,3592101.1,2.520854076693,7.93108361580034
"1776","Zaragoza","2008","1","15",2008-01-15,832165,8091656,20490893.7,2.53234859465108,9.72361971484021
"1777","Álava","2008","2","15",2008-02-15,271299,1782485.5,4613615.9,2.58830486980119,6.5701882424926
"1778","Albacete","2008","2","15",2008-02-15,330270,2567736.5,6638383.6,2.58530561839192,7.77465861265026
"1779","Alicante/Alacant","2008","2","15",2008-02-15,1530226,18552910,48340831.35,2.60556599207348,12.1242940585247
"1780","Almería","2008","2","15",2008-02-15,537974,5351923.5,14118131.55,2.63795466246855,9.94829396959704
"1781","Asturias","2008","2","15",2008-02-15,971694,7543777,19385185.4,2.56969226423316,7.76353152329849
"1782","Ávila","2008","2","15",2008-02-15,153661,1141105,2956049.35,2.59051476419786,7.42611983522169
"1783","Badajoz","2008","2","15",2008-02-15,565955,5028476,12689337.4,2.5234956674746,8.88493961534044
"1784","Balears (Illes)","2008","2","15",2008-02-15,882997,8253613,21775384.65,2.6382851546347,9.34727184803572
"1785","Barcelona","2008","2","15",2008-02-15,4591604,35866788.75,93886072.75,2.61763252362536,7.81138546573267
"1786","Burgos","2008","2","15",2008-02-15,329540,2169960.5,5621634.6,2.59066218025628,6.58481671420768
"1787","Cáceres","2008","2","15",2008-02-15,350565,2905556,7375395.2,2.538376544799,8.28820903398799
"1788","Cádiz","2008","2","15",2008-02-15,979180,6826659,17458731.55,2.55743425151308,6.9718121285157
"1789","Cantabria","2008","2","15",2008-02-15,507396,4049887.25,10538627.95,2.60220280206566,7.98170905959054
"1790","Castellón/Castelló","2008","2","15",2008-02-15,497519,4407568.5,11378603.6,2.58160561770055,8.85909583352596
"1791","Ciudad Real","2008","2","15",2008-02-15,436812,3802209,9778499.5,2.57179431746124,8.7044518007747
"1792","Córdoba","2008","2","15",2008-02-15,655281,5465722,13928511.6,2.54833882879517,8.34103537261114
"1793","Coruña (A)","2008","2","15",2008-02-15,1003599,7065951.5,18169582.7,2.57142759895819,7.04061233620201
"1794","Cuenca","2008","2","15",2008-02-15,187310,1464898.5,3773192.5,2.57573647594014,7.8207169932198
"1795","Girona","2008","2","15",2008-02-15,610434,13392787,34283747.4,2.55986654607439,21.9397789113975
"1796","Granada","2008","2","15",2008-02-15,739823,6566479,17033183.15,2.59395989083343,8.87574325210219
"1797","Guadalajara","2008","2","15",2008-02-15,202163,1628758.5,4222321.7,2.59235589561006,8.05665972507333
"1798","Guipúzcoa","2008","2","15",2008-02-15,605102,7896977,20167039.6,2.55376704275573,13.0506542698586
"1799","Huelva","2008","2","15",2008-02-15,416526,4472711.5,11438412.3,2.5573776220532,10.7381327936311
"1800","Huesca","2008","2","15",2008-02-15,198505,2225306,5751644.9,2.58465348136391,11.2103271957885
"1801","Jaén","2008","2","15",2008-02-15,543630,4636049,11848546.8,2.55574235733919,8.52794915659548
"1802","León","2008","2","15",2008-02-15,446747,3303306,8546009.2,2.58710794579733,7.39413135398783
"1803","Lleida","2008","2","15",2008-02-15,365879,4922392,12558141.3,2.55122739107328,13.453606246874
"1804","Lugo","2008","2","15",2008-02-15,326627,1935935,4991961.4,2.57857903287042,5.92705134603079
"1805","Madrid","2008","2","15",2008-02-15,5277397,41267395.5,107402969.85,2.60261081535906,7.8196496303007
"1806","Málaga","2008","2","15",2008-02-15,1263147,12139336,31878805.35,2.6260748816904,9.61039055628521
